	species_name	species_abbreviation	taxonomy	phylum	class
350	Methanobacterium sp MB1		archaea	Euryarchaeota	Methanobacteria
351	Haloterrigena sp YPL8		archaea	Euryarchaeota	Halobacteria
352	Methanobrevibacter sp AbM4		archaea	Euryarchaeota	Methanobacteria
353	Methanobrevibacter filiformis		archaea	Euryarchaeota	Methanobacteria
354	Halarchaeum sp CBA1220		archaea	Euryarchaeota	Halobacteria
355	Halomarina oriensis		archaea	Euryarchaeota	Halobacteria
356	Salarchaeum sp JOR-1		archaea	Euryarchaeota	Halobacteria
357	Halapricum salinum		archaea	Euryarchaeota	Halobacteria
358	Halopelagius longus		archaea	Euryarchaeota	Halobacteria
359	Halobellus limi		archaea	Euryarchaeota	Halobacteria
360	Nitrosopumilus maritimus SCM1		archaea	Nitrososphaerota	Nitrososphaerota
361	Halolamina sp CBA1230		archaea	Euryarchaeota	Halobacteria
362	Haloglomus irregulare		archaea	Euryarchaeota	Halobacteria
363	Halocalculus aciditolerans		archaea	Euryarchaeota	Halobacteria
364	Methanofollis fontis		archaea	Euryarchaeota	Methanomicrobia
365	Methanocella paludicola DSM 17711 		archaea	Euryarchaeota	Methanomicrobia
366	Methanobrevibacter sp NOE		archaea	Euryarchaeota	Methanobacteria
